"character","asylum_total_2010","asylum_applicants_2010","asylum_spouses_2010","asylum_children_2010"
"Total                                 ","11,244","8,730","1,147","1,367"
"Single                                ","5,625","4,258","-","1,367"
"Married                               ","4,992","3,846","1,146","-"
"Widowed                               ","160","160","-","-"
"Divorced/separated                    ","463","463","-","-"
"Unknown                               ","4","3","1","-"
