"character","asylum_total_2012","asylum_applicants_2012","asylum_spouses_2012","asylum_children_2012"
"Total                                 ","17,506","12,716","2,236","2,554"
"Single                                ","8,657","6,103"," - ","2,554"
"Married                               ","7,968","5,732","2,236"," - "
"Widowed                               ","197","197"," - "," - "
"Divorced/separated                    ","681","681"," - "," - "
"Unknown                               ","3","3"," - "," - "
