"character","asylum_total_2013","asylum_applicants_2013","asylum_spouses_2013","asylum_children_2013"
"Total                                 ","15,266","10,574","2,030","2,662"
"Single                                ","7,178","4,516","-","2,662"
"Married                               ","7,277","5,247","2,030","-"
"Widowed                               ","230","230","-","-"
"Divorced/separated                    ","576","576","-","-"
"Unknown                               ","5","5","-","-"
