"character","asylum_total_2009","asylum_applicants_2009","asylum_spouses_2009","asylum_children_2009"
"   Total","11,933","8,931","1,362","1,640"
"Single","5,618","3,988","         -","1,630"
"Married","5,675","4,316","1,359","         -"
"Widowed","173","173","         -","         -"
"Divorced/separated","447","447","         -","         -"
"Unknown","20","7","3","10"
