"character","asylum_total_2006","asylum_applicants_2016","asylum_spouses_2006","asylum_children_2016"
"     Total","12,873","8,951","1,591","2,331"
"Single","6,174","3,843","-","2,331"
"Married","6,113","4,522","1,591","-"
"Widowed","196","196","-","-"
"Divorced/separated","382","382","-","-"
"Unknown","8","8","-","-"
