"character","asylum_total_2004","asylum_applicants_2004","asylum_spouses_2004","asylum_children_2004","asylum_total_2005","asylum_applicants_2005","asylum_spouses_2005","asylum_children_2005","asylum_total_2006","asylum_applicants_2016.x","asylum_spouses_2006","asylum_children_2016.x","asylum_total_2007","asylum_applicants_2007","asylum_spouses_2007","asylum_children_2007","asylum_total_2008","asylum_applicants_2008","asylum_spouses_2008","asylum_children_2008","asylum_total_2009","asylum_applicants_2009","asylum_spouses_2009","asylum_children_2009","asylum_total_2010","asylum_applicants_2010","asylum_spouses_2010","asylum_children_2010","asylum_total_2011","asylum_applicants_2011","asylum_spouses_2011","asylum_children_2011","asylum_total_2012","asylum_applicants_2012","asylum_spouses_2012","asylum_children_2012","asylum_total_2013","asylum_applicants_2013","asylum_spouses_2013","asylum_children_2013","asylum_total_2014","asylum_applicants_2014","asylum_spouses_2014","asylum_children_2014","asylum_total_2015","asylum_applicants_2015","asylum_spouses_2015","asylum_children_2015","asylum_total_2016","asylum_applicants_2016.y","asylum_spouses_2016","asylum_children_2016.y"
"Total","12,187","8,919","1,424","1,844","13,520","9,401","1,732","2,387","12,873","8,951","1,591","2,331","12,463","8,987","1,481","1,995","12,187","8,919","1,424","1,844","11,933","8,931","1,362","1,640","11,244","8,730","1,147","1,367","13,484","10,306","1,455","1,723","17,506","12,716","2,236","2,554","15,266","10,574","2,030","2,662","14,758","10,023","1,995","2,740","17,878","13,499","1,836","2,543","11,729","8,943","1,186","1,600"
"Single","5,711","3,868"," - ","1,843","6,066","3,682","-","2,384","6,174","3,843","-","2,331","5,640","3,646"," - ","1,994","5,711","3,868"," - ","1,843","5,618","3,988","         -","1,630","5,625","4,258","-","1,367","6,999","5,276","-","1,723","8,657","6,103"," - ","2,554","7,178","4,516","-","2,662","7,095","4,355","-","2,740","6,187","4,351","1,836","-","3,912","2,726","1,186","-"
"Married   ","5,828","4,405","1,423"," - ","6,890","5,159","1,731","-","6,113","4,522","1,591","-","6,144","4,664","1,480"," -   ","5,828","4,405","1,423"," - ","5,675","4,316","1,359","         -","4,992","3,846","1,146","-","5,770","4,315","1,455","-","7,968","5,732","2,236"," - ","7,277","5,247","2,030","-","6,876","4,881","1,995","-","10,991","8,448","-","2,543","7,421","5,821","-","1,600"
"Widowed   ","212","212"," - "," - ","205","205","-","-","196","196","-","-","223","223"," - "," - ","212","212"," - "," - ","173","173","         -","         -","160","160","-","-","163","163","-","-","197","197"," - "," - ","230","230","-","-","214","214","-","-","200","200","-","-","109","109","-","-"
"Divorced/separated","430","430"," - "," - ","347","347","-","-","382","382","-","-","445","445"," - "," - ","430","430"," - "," - ","447","447","         -","         -","463","463","-","-","544","544","-","-","681","681"," - "," - ","576","576","-","-","570","570","-","-","480","480","-","-","275","275","-","-"
"Unknown   ","6","4","1","1","12","8","1","3","8","8","-","-","11","9","1","1","6","4","1","1",NA,NA,NA,NA,"4","3","1","-","8","8","-","-","3","3"," - "," - ","5","5","-","-","3","3","-","-","20","20","-","-","12","12","-","-"
