"character","asylum_total","asylum_applicants","asylum_spouses","asylum_children"
"   Total","12,187","8,919","1,424","1,844"
"Single","5,711","3,868"," - ","1,843"
"Married","5,828","4,405","1,423"," - "
"Widowed","212","212"," - "," - "
"Divorced/separated","430","430"," - "," - "
"Unknown","6","4","1","1"
