"character","asylum_total_2015","asylum_applicants_2015","asylum_spouses_2015","asylum_children_2015"
"Total","17,878","13,499","1,836","2,543"
"Single","6,187","4,351","1,836","-"
"Married   ","10,991","8,448","-","2,543"
"Widowed   ","200","200","-","-"
"Divorced/separated","480","480","-","-"
"Unknown   ","20","20","-","-"
