"character","asylum_total_2016","asylum_applicants_2016","asylum_spouses_2016","asylum_children_2016"
"Total","11,729","8,943","1,186","1,600"
"Under 16 years","2,547","1,330","-","1,217"
"16 to 20 years","2,645","2,345","3","297"
"21 years and over","6,537","5,268","1,183","86"
