"character","asylum_total_2015","asylum_applicants_2015","asylum_spouses_2015","asylum_children_2015"
"Total","17,878","13,499","1,836","2,543"
"Under 16 years","3,696","1,637","-","2,059"
"16 to 20 years","3,717","3,291","3","423"
"21 years and over","10,465","8,571","1,833","61"
