"character","asylum_total_2005","asylum_applicants_2005","asylum_spouses_2005","asylum_children_2005"
"Total","13,520","9,401","1,732","2,387"
"Under 16 years","1,786","38","-","1,748"
"16 to 20 years","873","343","11","519"
"21 years and over","10,861","9,020","1,721","120"
