"character","asylum_total_2014","asylum_applicants_2014","asylum_spouses_2014","asylum_children_2014"
"Total","14,758","10,023","1,995","2,740"
"Under 16 years","2,345","D","D","2,237"
"16 to 20 years","1,136","D","D","456"
"21 years and over","11,277","9,241","1,989","47"
