"character","asylum_total_2006","asylum_applicants_2016","asylum_spouses_2006","asylum_children_2016"
"     Total","12,873","8,951","1,591","2,331"
"Under 16 years","1,688","26","-","1,662"
"16 to 20 years","864","346","3","515"
"21 years and over","10,321","8,579","1,588","154"
