"character","asylum_total_2010","asylum_applicants_2010","asylum_spouses_2010","asylum_children_2010"
"Total","11,244","8,730","1,147","1,367"
"Under 16 years","1,163","89","-","1,074"
"16 to 20 years","927","674","10","243"
"21 years and over","9,154","7,967","1,137","50"
