"character","asylum_total_2012","asylum_applicants_2012","asylum_spouses_2012","asylum_children_2012"
"Total                                 ","17,506","12,716","2,236","2,554"
"Under 16 years                        ","2,290"," D "," D ","2,196"
"16 to 20 years                        ","1,232","899"," D "," D "
"21 years and over                     ","13,984","11,724"," D "," D "
