"character","asylum_total_2013","asylum_applicants_2013","asylum_spouses_2013","asylum_children_2013"
"Total","15,266","10,574","2,030","2,662"
"Under 16 years","2,373","65","-","2,308"
"16 to 20 years","845","514","7","324"
"21 years and over","12,048","9,995","2,023","30"
