"character","asylum_total_2009","asylum_applicants_2009","asylum_spouses_2009","asylum_children_2009"
"Total","11,933","8,931","1,362","1,640"
"Under 16 years","1,265","71","         -","1,194"
"16 to 20 years","916","586","13","317"
"21 years and over","9,752","8,274","1,349","129"
