"character","arrival_total_2006","arrival_applicants_2006","arrival_spouses_2006","arrival_children_2006","arrival_parents_2006","arrival_siblings_2006","arrival_others_2016"
"     Total","41,150","14,961","6,055","18,711","70","570","783"
"Male","21,188","8,679","1,814","9,970","11","319","395"
"Female","19,962","6,282","4,241","8,741","59","251","388"
