"character","arrival_total_2008","arrival_applicants_2008","arrival_spouses_2008","arrival_children_2008"
"     Total","60,108","25,355","10,406","24,347"
"Male","30,939","16,807","1,471","12,661"
"Female","29,169","8,548","8,935","11,686"
