"character","arrival_total_2013","arrival_applicants_2013","arrival_spouses_2013","arrival_children_2013","X","X.1","X.2"
"Total","69,909","31,698","11,278","26,933",NA,NA,""
"Male","37,792","21,891","1,731","14,170",NA,NA,""
"Female","32,117","9,807","9,547","12,763",NA,NA,""
