"character","arrival_total_2015","arrival_applicants_2015","arrival_spouses_2015","arrival_children_2015"
"Total","69,919","28,399","10,792","30,728"
"Male","33,335","10,082","8,688","14,565"
"Female","36,584","18,317","2,104","16,163"
