"character","arrival_total_2009","arrival_applicants_2009","arrival_spouses_2009","arrival_children_2009"
"Total","74,602","32,511","13,440","28,651"
"Male","38,491","21,839","1,844","14,808"
"Female","36,111","10,672","11,596","13,843"
