"character","arrival_total_2012","arrival_applicants_2012","arrival_spouses_2012","arrival_children_2012"
"Total","58,179","27,355","9,532","21,292"
"Male","31,380","19,201","1,219","10,960"
"Female","26,799","8,154","8,313","10,332"
