"character","arrival_total_2014","arrival_applicants_2014","arrival_spouses_2014","arrival_children_2014"
"Total","69,975","30,477","11,379","28,119"
"Male","36,767","20,028","1,970","14,769"
"Female","33,208","10,449","9,409","13,350"
