"character","arrival_total_2010","arrival_applicants_2010","arrival_spouses_2010","arrival_children_2010"
"Total","73,293","32,251","12,835","28,207"
"Male","38,624","22,066","1,853","14,705"
"Female","34,669","10,185","10,982","13,502"
