"character","arrival_total_2011","arrival_applicants_2011","arrival_spouses_2011","arrival_children_2011"
"Total","56,384","25,075","9,751","21,558"
"Male","29,436","17,041","1,272","11,123"
"Female","26,948","8,034","8,479","10,435"
