"character","arrival_total_2016","arrival_applicants_2016","arrival_spouses_2016","arrival_children_2016"
"Total","84,989","31,563","12,526","40,900"
"Male","41,728","11,872","10,159","19,697"
"Female","43,261","19,691","2,367","21,203"
