"character","arrival_total_2005","arrival_applicants_2005","arrival_spouses_2005","arrival_children_2005","arrival_parents_2005","arrival_siblings_2005","arrival_other_2005"
"Total","53,738","18,233","8,510","24,968","205","797","1,025"
"Male","27,477","11,187","2,291","12,996","27","462","514"
"Female","26,261","7,046","6,219","11,972","178","335","511"
