"character","asylum_total_2004","asylum_applicants_2004","asylum_spouses_2004","asylum_children_2004"
"Total","12,187","8,919","1,424","1,844"
"Under 1 year","1","-","-","1"
"1 to 4 years","224","-","-","224"
"5 to 9 years","451","5","-","446"
"10 to 14 years","505","20","-","485"
"15 to 19 years","726","261","5","460"
"20 to 24 years","1,621","1,338","98","185"
"25 to 29 years","1,997","1,735","222","40"
"30 to 34 years","1,702","1,433","266","3"
"35 to 39 years","1,597","1,349","248","-"
"40 to 44 years","1,277","1,055","222","-"
"45 to 49 years","905","744","161","-"
"50 to 54 years","575","475","100","-"
"55 to 59 years","302","251","51","-"
"60 to 64 years","143","121","22","-"
"65 to 74 years","123","97","26","-"
"75 years and over","38","35","3","-"
