"character","arrival_total_2014","arrival_applicants_2014","arrival_spouses_2014","arrival_children_2014"
"Total","69,975","30,477","11,379","28,119"
"Under 1 year                        ","96","-","-","96"
"1 to 4 years                          ","6,619","80","-","6,539"
"5 to 9 years                      ","7,361","130","-","7,231"
"10 to 14 years                     ","6,616","327","-","6,289"
"15 to 19 years                      ","6,794","896","86","5,812"
"20 to 24 years                       ","7,304","4,338","904","2,062"
"25 to 29 years                    ","7,878","5,783","2,034","61"
"30 to 34 years                 ","6,730","4,745","1,968","17"
"35 to 39 years                    ","4,960","3,355","1,599","6"
"40 to 44 years                   ","4,263","2,853","1,404","6"
"45 to 49 years                   ","3,094","2,061","1,033","-"
"50 to 54 years                    ","2,518","1,707","811","-"
"55 to 59 years                 ","1,801","1,208","593","-"
"60 to 64 years                   ","1,391","1,006","385","-"
"65 to 74 years           ","1,857","1,410","447","-"
"75 years and over                     ","693","578","115","-"
