"character","arrival_total_2009","arrival_applicants_2009","arrival_spouses_2009","arrival_children_2009"
"Total","74,602","32,511","13,440","28,651"
"Under 1 year","361","4","-","357"
"1 to 4 years","6,409","78","-","6,331"
"5 to 9 years","7,226","143","-","7,083"
"10 to 14 years","6,904","261","-","6,643"
"15 to 19 years","7,613","1,195","129","6,289"
"20 to 24 years","8,419","5,177","1,357","1,885"
"25 to 29 years","8,185","5,843","2,311","31"
"30 to 34 years","6,657","4,411","2,235","11"
"35 to 39 years","5,633","3,632","1,990","11"
"40 to 44 years","4,449","2,856","1,588","5"
"45 to 49 years","3,444","2,296","D","D"
"50 to 54 years","2,527","1,664","D","D"
"55 to 59 years","1,981","1,300","681","-"
"60 to 64 years","1,668","1,176","D","D"
"65 to 74 years","2,198","1,682","516","-"
"75 years and over","928","793","135","-"
