"character","arrival_total_2015","arrival_applicants_2015","arrival_spouses_2015","arrival_children_2015"
"Total","69,919","28,399","10,792","30,728"
"Under 1 year","239","4","-","235"
"1 to 4 years","7,689","118","-","7,571"
"5 to 9 years","8,270","132","-","8,138"
"10 to 14 years","7,376","316","-","7,060"
"15 to 19 years","6,886","998","64","5,824"
"20 to 24 years","6,845","4,063","950","1,832"
"25 to 29 years","7,409","5,305","2,056","48"
"30 to 34 years","6,789","4,634","2,151","4"
"35 to 39 years","5,192","3,502","1,679","11"
"40 to 44 years","3,880","2,619","D","D"
"45 to 49 years","2,849","1,960","D","D"
"50 to 54 years","2,067","1,442","D","D"
"55 to 59 years","1,461","1,025","436","-"
"60 to 64 years","1,103","798","305","-"
"65 to 74 years","1,359","1,058","301","-"
"75 years and over","506","426","80","-"
