"character","asylum_total_2011","asylum_applicants_2011","asylum_spouses_2011","asylum_children_2011"
"Total                                 ","13,484","10,306","1,455","1,723"
"Male                                  ","6,936","5,395","645","896"
"Female                                ","6,548","4,911","810","827"
