"character","asylum_total_2007","asylum_applicants_2007","asylum_spouses_2007","asylum_children_2007"
"   Total","12,463","8,987","1,481","1,995"
"Male","6,488","4,928","564","996"
"Female","5,975","4,059","917","999"
