"character","asylum_total_2015","asylum_applicants_2015","asylum_spouses_2015","asylum_children_2015"
"Total","17,878","13,499","1,836","2,543"
"Female","8,455","6,332","896","1,227"
"Male","9,423","7,167","940","1,316"
