"character","asylum_total_2009","asylum_applicants_2009","asylum_spouses_2009","asylum_children_2009"
"   Total","11,933","8,931","1,362","1,640"
"Male","6,401","4,949","566","886"
"Female","5,532","3,982","796","754"
