"character","asylum_total_2014","asylum_applicants_2014","asylum_spouses_2014","asylum_children_2014"
"Total","14,758","10,023","1,995","2,740"
"Male","7,531","4,917","1,166","1,448"
"Female","7,227","5,106","829","1,292"
