"character","asylum_total_2013","asylum_applicants_2013","asylum_spouses_2013","asylum_children_2013"
"Total","15,266","10,574","2,030","2,662"
"Male","7,748","5,253","1,099","1,396"
"Female","7,518","5,321","931","1,266"
