"character","asylum_total_2008","asylum_applicants_2008","asylum_spouses_2008","asylum_children_2008"
"   Total","12,187","8,919","1,424","1,844"
"Male","6,554","5,039","544","971"
"Female","5,633","3,880","880","873"
