"character","asylum_total_2012","asylum_applicants_2012","asylum_spouses_2012","asylum_children_2012"
"Total","17,506","12,716","2,236","2,554"
"Male","8,897","6,509","1,108","1,280"
"Female","8,609","6,207","1,128","1,274"
