"character","asylum_total_2006","asylum_applicants_2016","asylum_spouses_2006","asylum_children_2016"
"Total","12,873","8,951","1,591","2,331"
"Male","6,816","5,097","563","1,156"
"Female","6,057","3,854","1,028","1,175"
