"character","arrival_total_2006","arrival_applicants_2006","arrival_spouses_2006","arrival_children_2006","arrival_parents_2006","arrival_siblings_2006","arrival_others_2016"
"     Total","41,150","14,961","6,055","18,711","70","570","783"
"Single","24,555","4,655","17","18,594","3","535","751"
"Married   ","14,457","8,369","6,034","25","18","D","D"
"Widowed   ","1,178","1,101","D","8","45","D","21"
"Divorced/separated","805","767","D","26","4","5","D"
"Unknown   ","155","69","D","58","-","26","D"
