"character","arrival_total_2013","arrival_applicants_2013","arrival_spouses_2013","arrival_children_2013","X","X.1","X.2"
"Total","69,909","31,698","11,278","26,933",NA,NA,""
"Single","39,392","12,494","D","D",NA,NA,""
"Married","26,789","15,502","D","D",NA,NA,""
"Widowed","1,933","D","-","D",NA,NA,""
"Divorced/Separated","1,761","1,756","-","5",NA,NA,""
"Unknown","34","D","-","D",NA,NA,""
