"character","arrival_total_2010","arrival_applicants_2010","arrival_spouses_2010","arrival_children_2010"
"Total","73,293","32,251","12,835","28,207"
"Single","41,022","12,845","15","28,162"
"Married   ","28,567","15,731","12,816","20"
"Widowed   ","2,218","2,218","-","-"
"Divorced/separated","1,448","1,433","D","D"
"Unknown   ","38","24","D","D"
