"character","arrival_total_2009","arrival_applicants_2009","arrival_spouses_2009","arrival_children_2009"
"Total","74,602","32,511","13,440","28,651"
"Single","40,798","12,182","25","28,591"
"Married","29,770","16,340","13,404","26"
"Widowed","2,452","D","-","D"
"Divorced/separated","1,483","1,464","5",""
"Unknown","99","D","6","D"
