"character","arrival_total_2015","arrival_applicants_2015","arrival_spouses_2015","arrival_children_2015"
"Total","69,919","28,399","10,792","30,728"
"Single","25,063","14,260","10,787","16"
"Married   ","41,105","D","D","30,696"
"Widowed   ","1,932","D","-","D"
"Divorced/separated","1,810","1,794","D","D"
"Unknown   ","10","10","-","-"
