"character","arrival_total_2014","arrival_applicants_2014","arrival_spouses_2014","arrival_children_2014"
"Total","69,975","30,477","11,379","28,119"
"Single","39,739","D","D","28,081"
"Married   ","26,168","14,787","D","D"
"Widowed   ","2,160","D","-","D"
"Divorced/separated","1,870","1,860","D","D"
"Unknown   ","38","D","D","20"
