"character","arrival_total_2004","arrival_applicants_2004","arrival_spouses_2004","arrival_children_2004","arrival_total_2005","arrival_applicants_2005","arrival_spouses_2005","arrival_children_2005","arrival_parents_2005","arrival_siblings_2005","arrival_other_2005","arrival_total_2006","arrival_applicants_2006","arrival_spouses_2006","arrival_children_2006","arrival_parents_2006","arrival_siblings_2006","arrival_others_2016","arrival_total_2007","arrival_applicants_2007","arrival_spouses_2007","arrival_children_2007","arrival_total_2008","arrival_applicants_2008","arrival_spouses_2008","arrival_children_2008","arrival_total_2009","arrival_applicants_2009","arrival_spouses_2009","arrival_children_2009","arrival_total_2010","arrival_applicants_2010","arrival_spouses_2010","arrival_children_2010","arrival_total_2011","arrival_applicants_2011","arrival_spouses_2011","arrival_children_2011","arrival_total_2012","arrival_applicants_2012","arrival_spouses_2012","arrival_children_2012","arrival_total_2013","arrival_applicants_2013","arrival_spouses_2013","arrival_children_2013","arrival_total_2014","arrival_applicants_2014","arrival_spouses_2014","arrival_children_2014","arrival_total_2015","arrival_applicants_2015","arrival_spouses_2015","arrival_children_2015","arrival_total_2016","arrival_applicants_2016","arrival_spouses_2016","arrival_children_2016"
"Total","60,108","25,355","10,406","24,347","53,738","18,233","8,510","24,968","205","797","1,025","41,150","14,961","6,055","18,711","70","570","783","48,217","19,911","7,414","20,892","60,108","25,355","10,406","24,347","74,602","32,511","13,440","28,651","73,293","32,251","12,835","28,207","56,384","25,075","9,751","21,558","58,179","27,355","9,532","21,292","69,909","31,698","11,278","26,933","69,975","30,477","11,379","28,119","69,919","28,399","10,792","30,728","84,989","31,563","12,526","40,900"
"Single","33,970","9,688","24","24,258","31,000","4,479","D","24,766","-","784","962","24,555","4,655","17","18,594","3","535","751","28,739","7,862","32","20,845","33,970","9,688","24","24,258","40,798","12,182","25","28,591","41,022","12,845","15","28,162","31,324","9,794","10","21,520","32,608","11,335","-","21,273","39,392","12,494","D","D","39,739","D","D","28,081","25,063","14,260","10,787","16","52,578","11,694","5","40,879"
"Married   ","23,010","12,632","10,362","16","19,470","10,873","8,482","53","41","4","17","14,457","8,369","6,034","25","18","D","D","17,101","9,700","7,377","24","23,010","12,632","10,362","16",NA,NA,NA,NA,"28,567","15,731","12,816","20","22,095","12,333","9,741","21","22,322","12,780","9,532","10","26,789","15,502","D","D","26,168","14,787","D","D","41,105","D","D","30,696","28,242","15,712","12,521","9"
"Widowed   ","1,906","1,900","3","3","1,228","1,185","-","4","-","-","39","1,178","1,101","D","8","45","D","21","1,448","1,448"," -   "," -   ","1,906","1,900","3","3",NA,NA,NA,NA,"2,218","2,218","-","-","1,742","1,742","-","-","1,792","D","-","D","1,933","D","-","D","2,160","D","-","D","1,932","D","-","D","2,253","D","-","D"
"Divorced/separated","1,077","1,056","5","16","871","799","D","32","28","D","6","805","767","D","26","4","5","D","898","882","3","13","1,077","1,056","5","16","1,483","1,464","5","","1,448","1,433","D","D","1,208","1,196","-","12","1,446","1,442","-","4","1,761","1,756","-","5","1,870","1,860","D","D","1,810","1,794","D","D","1,907","1,898","-","9"
"Unknown   ","145","79","12","54","1,169","897","18","113","136","4","1","155","69","D","58","-","26","D","31","19","2","10","145","79","12","54",NA,NA,NA,NA,"38","24","D","D","15","10","-","5","11","D","-","D","34","D","-","D","38","D","D","20","10","10","-","-","9","D","-","D"
