"character","arrival_total","arrival_applicants","arrival_spouses","arrival_children"
"     Total","60,108","25,355","10,406","24,347"
"Single","33,970","9,688","24","24,258"
"Married   ","23,010","12,632","10,362","16"
"Widowed   ","1,906","1,900","3","3"
"Divorced/separated","1,077","1,056","5","16"
"Unknown   ","145","79","12","54"
