"character","arrival_total_2012","arrival_applicants_2012","arrival_spouses_2012","arrival_children_2012"
"Total","58,179","27,355","9,532","21,292"
"Single","32,608","11,335","-","21,273"
"Married   ","22,322","12,780","9,532","10"
"Widowed   ","1,792","D","-","D"
"Divorced/separated","1,446","1,442","-","4"
"Unknown   ","11","D","-","D"
