"character","arrival_total_2011","arrival_applicants_2011","arrival_spouses_2011","arrival_children_2011"
"Total","56,384","25,075","9,751","21,558"
"Single","31,324","9,794","10","21,520"
"Married   ","22,095","12,333","9,741","21"
"Widowed   ","1,742","1,742","-","-"
"Divorced/separated","1,208","1,196","-","12"
"Unknown   ","15","10","-","5"
