"character","arrival_total_2012","arrival_applicants_2012","arrival_spouses_2012","arrival_children_2012"
"Total","58,179","27,355","9,532","21,292"
"Under 16 years","16,723","424","-","16,299"
"16 to 20 years","5,763","1,335","174","4,254"
"21 years and over","35,693","25,596","9,358","739"
