"character","arrival_total_2014","arrival_applicants_2014","arrival_spouses_2014","arrival_children_2014"
"Total","69,975","30,477","11,379","28,119"
"Under 16 years","22,004","634","-","21,370"
"16 to 20 years","6,939","1,298","175","5,466"
"21 years and over","41,032","28,545","11,204","1,283"
