"character","arrival_total_2011","arrival_applicants_2011","arrival_spouses_2011","arrival_children_2011"
"Total","56,384","25,075","9,751","21,558"
"Under 16 years","17,022","D","D","16,459"
"16 to 20 years","5,898","D","D","4,349"
"21 years and over","33,464","23,177","9,537","750"
