"Characteristic","arrival_total_2016","arrival_applicants_2016","arrival_spouses_2016","arrival_children_2016"
"Total","84,989","31,563","12,526","40,900"
"Under 16 years","34,113","801","-","33,312"
"16 to 20 years","8,613","1,741","275","6,597"
"21 years and over","42,263","29,021","12,251","991"
