"character","arrival_total_2013","arrival_applicants_2013","arrival_spouses_2013","arrival_children_2013","X","X.1","X.2"
"Total","69,909","31,698","11,278","26,933",NA,NA,""
"Under 16 years                        ","21,177","538","D","D",NA,NA,""
"16 to 20 years                        ","6,710","1,417","D","D",NA,NA,"`"
"21 years and over                     ","42,022","29,743","11,125","1,154",NA,NA,""
