"character","arrival_total_2015","arrival_applicants_2015","arrival_spouses_2015","arrival_children_2015"
"Total","69,919","28,399","10,792","30,728"
"Under 16 years","24,988","679","-","24,309"
"16 to 20 years","6,906","1,354","176","5,376"
"21 years and over","38,026","26,367","10,616","1,043"
