"character","arrival_total_2009","arrival_applicants_2009","arrival_spouses_2009","arrival_children_2009"
"Total","74,602","32,511","13,440","28,651"
"Under 16                            ","22,288","575","-","21,713"
"Age 16 to 20                        ","7,889","1,590","284","6,015"
"Age 21 and over                     ","44,425","30,346","13,156","923"
