"character","arrival_total_2010","arrival_applicants_2010","arrival_spouses_2010","arrival_children_2010"
"Total","73,293","32,251","12,835","28,207"
"Under 16 years","22,543","868","-","21,675"
"16 to 20 years","7,699","1,811","284","5,604"
"21 years and over","43,051","29,572","12,551","928"
